Date,Prices,NetPositions
2023-01-01 00:00:00+01:00,18.09,0.0
2023-01-01 01:00:00+01:00,5.75,0.0
2023-01-01 02:00:00+01:00,5.27,0.0
2023-01-01 03:00:00+01:00,5.74,-0.4
2023-01-01 04:00:00+01:00,5.22,0.0
2023-01-01 05:00:00+01:00,6.14,0.0
2023-01-01 06:00:00+01:00,5.31,0.0
2023-01-01 07:00:00+01:00,5.99,-0.2
2023-01-01 08:00:00+01:00,6.63,0.0
2023-01-01 09:00:00+01:00,6.64,0.0
2023-01-01 10:00:00+01:00,5.17,0.0
2023-01-01 11:00:00+01:00,8.53,-1.0
2023-01-01 12:00:00+01:00,10.72,0.3
2023-01-01 13:00:00+01:00,14.06,0.0
2023-01-01 14:00:00+01:00,56.41,0.0
2023-01-01 15:00:00+01:00,91.66,0.0
2023-01-01 16:00:00+01:00,97.81,-0.9
2023-01-01 17:00:00+01:00,102.08,-431.0
2023-01-01 18:00:00+01:00,106.34,-301.0
2023-01-01 19:00:00+01:00,108.73,-339.0
2023-01-01 20:00:00+01:00,106.65,-522.7
2023-01-01 21:00:00+01:00,107.42,-536.0
2023-01-01 22:00:00+01:00,103.81,-472.0
2023-01-01 23:00:00+01:00,90.35,-400.0
2023-01-02 00:00:00+01:00,96.87,0.0
2023-01-02 01:00:00+01:00,96.07,0.0
2023-01-02 02:00:00+01:00,94.8,0.0
2023-01-02 03:00:00+01:00,94.86,0.0
2023-01-02 04:00:00+01:00,96.87,0.0
2023-01-02 05:00:00+01:00,96.99,0.0
2023-01-02 06:00:00+01:00,140.48,0.0
2023-01-02 07:00:00+01:00,140.64,-348.4
2023-01-02 08:00:00+01:00,145.98,0.6
2023-01-02 09:00:00+01:00,147.05,-150.2
2023-01-02 10:00:00+01:00,145.61,-386.7
2023-01-02 11:00:00+01:00,143.35,0.0
2023-01-02 12:00:00+01:00,144.38,0.1
2023-01-02 13:00:00+01:00,143.76,0.1
2023-01-02 14:00:00+01:00,146.09,0.0
2023-01-02 15:00:00+01:00,145.86,0.9
2023-01-02 16:00:00+01:00,146.63,2.0
2023-01-02 17:00:00+01:00,145.28,0.0
2023-01-02 18:00:00+01:00,145.43,0.0
2023-01-02 19:00:00+01:00,145.54,0.0
2023-01-02 20:00:00+01:00,147.23,0.0
2023-01-02 21:00:00+01:00,141.67,249.5
2023-01-02 22:00:00+01:00,137.54,187.0
2023-01-02 23:00:00+01:00,124.22,0.0
2023-01-03 00:00:00+01:00,130.01,133.4
2023-01-03 01:00:00+01:00,120.0,100.8
2023-01-03 02:00:00+01:00,118.76,106.7
2023-01-03 03:00:00+01:00,115.0,1.7
2023-01-03 04:00:00+01:00,113.63,99.9
2023-01-03 05:00:00+01:00,116.27,337.2
2023-01-03 06:00:00+01:00,138.92,0.0
2023-01-03 07:00:00+01:00,140.83,0.0
2023-01-03 08:00:00+01:00,142.2,0.0
2023-01-03 09:00:00+01:00,141.56,0.0
2023-01-03 10:00:00+01:00,143.34,0.0
2023-01-03 11:00:00+01:00,141.65,0.0
2023-01-03 12:00:00+01:00,143.34,0.9
2023-01-03 13:00:00+01:00,141.59,0.0
2023-01-03 14:00:00+01:00,141.58,0.0
2023-01-03 15:00:00+01:00,170.74,0.0
2023-01-03 16:00:00+01:00,167.72,0.0
2023-01-03 17:00:00+01:00,167.97,0.0
2023-01-03 18:00:00+01:00,159.96,1.0
2023-01-03 19:00:00+01:00,160.99,0.4
2023-01-03 20:00:00+01:00,149.62,-0.2
2023-01-03 21:00:00+01:00,143.07,0.2
2023-01-03 22:00:00+01:00,132.52,271.1
2023-01-03 23:00:00+01:00,128.25,296.4
2023-01-04 00:00:00+01:00,130.34,0.0
2023-01-04 01:00:00+01:00,121.78,0.0
2023-01-04 02:00:00+01:00,128.19,0.0
2023-01-04 03:00:00+01:00,121.78,0.0
2023-01-04 04:00:00+01:00,122.94,-1.1
2023-01-04 05:00:00+01:00,128.2,-0.1
