Date,Gen-Biomass,Gen-Coal,Gen-Gas,Gen-Oil,Gen-Hydro,Gen-Solar,Gen-Wind,Gen-Other,Con-Hydro,Load
2024-01-01 00:00:00+01:00,269.0,7801.0,1600.0,374.0,266.0,0.0,2818.0,0.0,11.0,14098.0
2024-01-01 01:00:00+01:00,274.0,7867.0,1592.0,371.0,273.0,0.0,2486.0,,25.0,13695.0
2024-01-01 02:00:00+01:00,274.0,7779.0,1599.0,370.0,274.0,0.0,2365.0,,27.0,13191.0
2024-01-01 03:00:00+01:00,273.0,7669.0,1579.0,370.0,254.0,0.0,2249.0,,7.0,12752.0
2024-01-01 04:00:00+01:00,276.0,7720.0,1574.0,370.0,249.0,0.0,2056.0,,0.0,12708.0
2024-01-01 05:00:00+01:00,274.0,7888.0,1667.0,369.0,250.0,0.0,1905.0,,0.0,12811.0
2024-01-01 06:00:00+01:00,274.0,7949.0,1765.0,368.0,276.0,0.0,1602.0,,12.0,13031.0
2024-01-01 07:00:00+01:00,273.0,7942.0,1763.0,367.0,343.0,21.0,1348.0,,19.0,13043.0
2024-01-01 08:00:00+01:00,276.0,7934.0,1863.0,366.0,346.0,153.0,1412.0,,12.0,13265.0
2024-01-01 09:00:00+01:00,275.0,8114.0,1939.0,367.0,343.0,329.0,1466.0,,10.0,13970.0
2024-01-01 10:00:00+01:00,277.0,8552.0,1973.0,368.0,321.0,553.0,1440.0,,34.0,14833.0
2024-01-01 11:00:00+01:00,276.0,8617.0,1961.0,367.0,307.0,782.0,1258.0,,23.0,15594.0
2024-01-01 12:00:00+01:00,275.0,8779.0,1973.0,368.0,347.0,916.0,1218.0,,66.0,16178.0
2024-01-01 13:00:00+01:00,274.0,8808.0,1977.0,368.0,556.0,889.0,1247.0,,262.0,16679.0
2024-01-01 14:00:00+01:00,273.0,8608.0,1982.0,368.0,489.0,561.0,1328.0,,157.0,16670.0
2024-01-01 15:00:00+01:00,272.0,8833.0,1994.0,368.0,555.0,242.0,1487.0,,214.0,16753.0
2024-01-01 16:00:00+01:00,269.0,8919.0,1997.0,368.0,611.0,20.0,1757.0,,257.0,17334.0
2024-01-01 17:00:00+01:00,273.0,8553.0,1986.0,370.0,569.0,0.0,2053.0,,209.0,17323.0
2024-01-01 18:00:00+01:00,276.0,8309.0,1987.0,370.0,459.0,0.0,2264.0,,97.0,17263.0
2024-01-01 19:00:00+01:00,275.0,8454.0,2005.0,370.0,455.0,0.0,2303.0,,95.0,17302.0
2024-01-01 20:00:00+01:00,275.0,8590.0,2005.0,371.0,539.0,0.0,2456.0,,193.0,17014.0
2024-01-01 21:00:00+01:00,275.0,8485.0,1952.0,370.0,392.0,0.0,2349.0,,58.0,16214.0
2024-01-01 22:00:00+01:00,275.0,8385.0,1931.0,370.0,342.0,0.0,2239.0,,16.0,15425.0
2024-01-01 23:00:00+01:00,274.0,8327.0,1940.0,372.0,330.0,0.0,2195.0,,14.0,14435.0
2024-01-02 00:00:00+01:00,275.0,8107.0,1956.0,372.0,277.0,0.0,2134.0,,0.0,13653.0
2024-01-02 01:00:00+01:00,275.0,8120.0,1735.0,372.0,294.0,0.0,2017.0,,22.0,13217.0
2024-01-02 02:00:00+01:00,276.0,8317.0,1672.0,371.0,295.0,0.0,1925.0,,23.0,12978.0
2024-01-02 03:00:00+01:00,276.0,8453.0,1708.0,370.0,273.0,0.0,1889.0,,2.0,13101.0
2024-01-02 04:00:00+01:00,275.0,8998.0,1728.0,371.0,271.0,0.0,1695.0,,0.0,13510.0
2024-01-02 05:00:00+01:00,275.0,9270.0,1828.0,372.0,308.0,0.0,1536.0,,0.0,14636.0
2024-01-02 06:00:00+01:00,268.0,10441.0,2241.0,372.0,340.0,0.0,1316.0,,5.0,17229.0
2024-01-02 07:00:00+01:00,267.0,11664.0,2423.0,373.0,513.0,26.0,1220.0,,154.0,19191.0
2024-01-02 08:00:00+01:00,276.0,12296.0,2440.0,373.0,466.0,322.0,1216.0,,101.0,20307.0
2024-01-02 09:00:00+01:00,275.0,12166.0,2405.0,371.0,666.0,829.0,1267.0,,302.0,21046.0
2024-01-02 10:00:00+01:00,276.0,11630.0,2161.0,370.0,598.0,1366.0,1308.0,,243.0,21249.0
2024-01-02 11:00:00+01:00,277.0,11284.0,2143.0,371.0,638.0,1729.0,1156.0,,285.0,21561.0
2024-01-02 12:00:00+01:00,276.0,11584.0,2138.0,375.0,635.0,1697.0,1162.0,,285.0,21725.0
2024-01-02 13:00:00+01:00,272.0,12183.0,2232.0,376.0,426.0,1285.0,1347.0,,74.0,22048.0
2024-01-02 14:00:00+01:00,273.0,12640.0,2207.0,375.0,394.0,565.0,1733.0,,41.0,21734.0
2024-01-02 15:00:00+01:00,269.0,12906.0,2202.0,381.0,676.0,234.0,2243.0,,322.0,21877.0
2024-01-02 16:00:00+01:00,268.0,12849.0,2165.0,385.0,1185.0,39.0,2675.0,,821.0,22419.0
2024-01-02 17:00:00+01:00,268.0,12471.0,2013.0,374.0,1285.0,0.0,2995.0,,915.0,22290.0
2024-01-02 18:00:00+01:00,268.0,11933.0,1976.0,370.0,1189.0,0.0,3186.0,,817.0,21949.0
2024-01-02 19:00:00+01:00,268.0,11472.0,1910.0,372.0,1124.0,0.0,3587.0,,757.0,21705.0
2024-01-02 20:00:00+01:00,270.0,10940.0,1905.0,368.0,997.0,0.0,3859.0,,661.0,21113.0
2024-01-02 21:00:00+01:00,267.0,10241.0,1976.0,368.0,947.0,0.0,4044.0,,628.0,19855.0
2024-01-02 22:00:00+01:00,268.0,10023.0,2015.0,371.0,457.0,0.0,4240.0,,153.0,18607.0
2024-01-02 23:00:00+01:00,266.0,8879.0,2039.0,370.0,295.0,0.0,4341.0,,3.0,17226.0
2024-01-03 00:00:00+01:00,271.0,8298.0,1764.0,370.0,341.0,0.0,4466.0,,35.0,16157.0
2024-01-03 01:00:00+01:00,274.0,8196.0,1776.0,369.0,300.0,0.0,4730.0,,40.0,15546.0
2024-01-03 02:00:00+01:00,277.0,8230.0,1775.0,368.0,249.0,0.0,4840.0,,5.0,15405.0
2024-01-03 03:00:00+01:00,275.0,8272.0,1733.0,369.0,243.0,0.0,4820.0,,0.0,15333.0
2024-01-03 04:00:00+01:00,276.0,8414.0,1803.0,368.0,283.0,0.0,4843.0,,0.0,15769.0
2024-01-03 05:00:00+01:00,277.0,8971.0,2139.0,367.0,288.0,0.0,4919.0,,0.0,16800.0
2024-01-03 06:00:00+01:00,284.0,10242.0,2224.0,369.0,351.0,0.0,4937.0,,36.0,19404.0
2024-01-03 07:00:00+01:00,282.0,11310.0,2263.0,370.0,796.0,55.0,4941.0,,467.0,21485.0
2024-01-03 08:00:00+01:00,282.0,11732.0,2264.0,367.0,866.0,615.0,4812.0,,535.0,22722.0
2024-01-03 09:00:00+01:00,278.0,11758.0,2247.0,359.0,870.0,822.0,4936.0,,541.0,22945.0
2024-01-03 10:00:00+01:00,277.0,11689.0,2242.0,359.0,533.0,1082.0,4983.0,,205.0,22852.0
2024-01-03 11:00:00+01:00,275.0,11740.0,2240.0,362.0,342.0,1297.0,4882.0,,17.0,22971.0
2024-01-03 12:00:00+01:00,275.0,11893.0,2257.0,359.0,352.0,1265.0,4456.0,,29.0,23052.0
2024-01-03 13:00:00+01:00,275.0,12148.0,2250.0,360.0,624.0,949.0,4125.0,,302.0,23236.0
2024-01-03 14:00:00+01:00,277.0,12198.0,2345.0,360.0,534.0,460.0,3735.0,,204.0,22836.0
2024-01-03 15:00:00+01:00,276.0,12374.0,2449.0,362.0,656.0,164.0,3558.0,,322.0,22938.0
2024-01-03 16:00:00+01:00,276.0,12520.0,2417.0,362.0,1279.0,9.0,3739.0,,934.0,23417.0
2024-01-03 17:00:00+01:00,275.0,12483.0,2285.0,366.0,1311.0,0.0,3828.0,,955.0,23486.0
2024-01-03 18:00:00+01:00,276.0,12276.0,2273.0,366.0,969.0,0.0,3850.0,,609.0,23186.0
2024-01-03 19:00:00+01:00,276.0,12034.0,2420.0,367.0,603.0,0.0,3728.0,,247.0,22944.0
2024-01-03 20:00:00+01:00,276.0,11512.0,2267.0,367.0,424.0,0.0,3504.0,,70.0,22288.0
2024-01-03 21:00:00+01:00,276.0,11001.0,2203.0,366.0,385.0,0.0,3476.0,,49.0,20909.0
2024-01-03 22:00:00+01:00,266.0,10602.0,2215.0,366.0,388.0,0.0,3304.0,,58.0,19363.0
2024-01-03 23:00:00+01:00,265.0,10318.0,2206.0,366.0,347.0,0.0,3170.0,,27.0,17998.0
2024-01-04 00:00:00+01:00,267.0,10019.0,2062.0,366.0,282.0,0.0,2956.0,,0.0,16908.0
2024-01-04 01:00:00+01:00,266.0,10094.0,2087.0,367.0,277.0,0.0,2895.0,,0.0,16427.0
2024-01-04 02:00:00+01:00,259.0,10050.0,1974.0,367.0,276.0,0.0,2884.0,,0.0,16057.0
2024-01-04 03:00:00+01:00,273.0,9969.0,1973.0,367.0,276.0,0.0,2867.0,,0.0,15976.0
2024-01-04 04:00:00+01:00,274.0,10218.0,2078.0,366.0,276.0,0.0,2860.0,,0.0,16399.0
2024-01-04 05:00:00+01:00,282.0,11078.0,2247.0,367.0,313.0,0.0,2852.0,,0.0,17352.0
2024-01-04 06:00:00+01:00,282.0,11892.0,2350.0,368.0,366.0,0.0,2678.0,,21.0,19854.0
2024-01-04 07:00:00+01:00,283.0,12539.0,2359.0,368.0,445.0,9.0,2602.0,,82.0,21717.0
2024-01-04 08:00:00+01:00,280.0,12999.0,2391.0,369.0,623.0,175.0,2849.0,,248.0,22639.0
2024-01-04 09:00:00+01:00,278.0,12516.0,2216.0,369.0,956.0,487.0,2923.0,,583.0,23017.0
2024-01-04 10:00:00+01:00,282.0,11957.0,2208.0,370.0,943.0,716.0,3139.0,,579.0,22917.0
2024-01-04 11:00:00+01:00,282.0,12280.0,2197.0,368.0,745.0,891.0,3465.0,,425.0,23326.0
2024-01-04 12:00:00+01:00,280.0,12267.0,2189.0,369.0,346.0,979.0,3902.0,,37.0,23690.0
2024-01-04 13:00:00+01:00,281.0,12390.0,2216.0,369.0,308.0,692.0,3877.0,,0.0,23624.0
2024-01-04 14:00:00+01:00,282.0,12587.0,2195.0,368.0,455.0,389.0,4301.0,,111.0,23234.0
2024-01-04 15:00:00+01:00,278.0,13260.0,2208.0,370.0,367.0,161.0,4600.0,,22.0,23291.0
2024-01-04 16:00:00+01:00,276.0,14053.0,2410.0,379.0,472.0,23.0,4962.0,,116.0,23935.0
2024-01-04 17:00:00+01:00,275.0,14440.0,2434.0,385.0,1586.0,0.0,5009.0,,1219.0,23876.0
2024-01-04 18:00:00+01:00,283.0,14678.0,2437.0,390.0,1809.0,0.0,4873.0,,1447.0,23716.0
2024-01-04 19:00:00+01:00,282.0,14502.0,2397.0,393.0,951.0,0.0,4450.0,,594.0,23559.0
2024-01-04 20:00:00+01:00,282.0,14007.0,2304.0,394.0,457.0,0.0,4352.0,,114.0,22962.0
2024-01-04 21:00:00+01:00,282.0,13269.0,2218.0,399.0,348.0,0.0,4234.0,,21.0,21606.0
2024-01-04 22:00:00+01:00,280.0,11677.0,2205.0,405.0,329.0,0.0,3854.0,,8.0,20054.0
2024-01-04 23:00:00+01:00,278.0,11256.0,2217.0,409.0,311.0,0.0,3442.0,,0.0,18834.0
2024-01-05 00:00:00+01:00,273.0,11455.0,2113.0,402.0,284.0,0.0,2868.0,,0.0,17902.0
2024-01-05 01:00:00+01:00,273.0,11621.0,2086.0,403.0,277.0,0.0,2316.0,,0.0,17343.0
2024-01-05 02:00:00+01:00,277.0,11694.0,2246.0,404.0,277.0,0.0,2027.0,,0.0,17123.0
2024-01-05 03:00:00+01:00,274.0,11919.0,2280.0,402.0,276.0,0.0,1751.0,,0.0,17094.0
2024-01-05 04:00:00+01:00,274.0,12330.0,2317.0,403.0,316.0,0.0,1453.0,,0.0,17568.0
2024-01-05 05:00:00+01:00,275.0,12324.0,2358.0,404.0,322.0,0.0,1142.0,,0.0,18418.0
2024-01-05 06:00:00+01:00,279.0,13826.0,2475.0,404.0,477.0,0.0,954.0,,122.0,20980.0
2024-01-05 07:00:00+01:00,283.0,14459.0,2491.0,400.0,1136.0,9.0,1015.0,,763.0,22927.0
2024-01-05 08:00:00+01:00,284.0,14582.0,2495.0,396.0,1351.0,216.0,911.0,,977.0,23810.0
2024-01-05 09:00:00+01:00,280.0,14321.0,2489.0,397.0,1142.0,784.0,804.0,,769.0,24293.0
