Date,Prices,NetPositions
2025-01-01 00:00:00+01:00,15.41,132.6
2025-01-01 01:00:00+01:00,2.19,403.1
2025-01-01 02:00:00+01:00,2.18,224.9
2025-01-01 03:00:00+01:00,1.69,148.0
2025-01-01 04:00:00+01:00,0.09,42.6
2025-01-01 05:00:00+01:00,1.16,-0.7
2025-01-01 06:00:00+01:00,0.04,140.3
2025-01-01 07:00:00+01:00,0.08,1.2
2025-01-01 08:00:00+01:00,-4.94,89.6
2025-01-01 09:00:00+01:00,-50.26,249.5
2025-01-01 10:00:00+01:00,-72.99,862.5
2025-01-01 11:00:00+01:00,-59.57,811.8
2025-01-01 12:00:00+01:00,-48.26,861.5
2025-01-01 13:00:00+01:00,-4.94,785.2
2025-01-01 14:00:00+01:00,0.13,410.9
2025-01-01 15:00:00+01:00,23.25,239.6
2025-01-01 16:00:00+01:00,45.19,0.8
2025-01-01 17:00:00+01:00,47.03,40.2
2025-01-01 18:00:00+01:00,41.76,61.7
2025-01-01 19:00:00+01:00,39.38,0.1
2025-01-01 20:00:00+01:00,34.63,0.5
2025-01-01 21:00:00+01:00,13.82,26.5
2025-01-01 22:00:00+01:00,9.71,89.3
2025-01-01 23:00:00+01:00,0.04,31.5
2025-01-02 00:00:00+01:00,-15.12,211.0
2025-01-02 01:00:00+01:00,-8.43,275.2
2025-01-02 02:00:00+01:00,-21.04,497.6
2025-01-02 03:00:00+01:00,-10.56,309.3
2025-01-02 04:00:00+01:00,-10.68,74.0
2025-01-02 05:00:00+01:00,0.05,96.6
2025-01-02 06:00:00+01:00,40.08,453.8
2025-01-02 07:00:00+01:00,93.73,355.1
2025-01-02 08:00:00+01:00,107.61,218.7
2025-01-02 09:00:00+01:00,114.93,435.8
2025-01-02 10:00:00+01:00,119.79,1.3
2025-01-02 11:00:00+01:00,110.47,272.1
2025-01-02 12:00:00+01:00,96.95,471.5
2025-01-02 13:00:00+01:00,108.02,852.0
2025-01-02 14:00:00+01:00,113.55,581.4
2025-01-02 15:00:00+01:00,130.11,372.8
2025-01-02 16:00:00+01:00,136.43,105.3
2025-01-02 17:00:00+01:00,151.99,-135.8
2025-01-02 18:00:00+01:00,152.6,-260.0
2025-01-02 19:00:00+01:00,139.06,-173.9
2025-01-02 20:00:00+01:00,128.74,-24.5
2025-01-02 21:00:00+01:00,100.91,-25.3
2025-01-02 22:00:00+01:00,101.27,0.4
2025-01-02 23:00:00+01:00,74.79,83.4
2025-01-03 00:00:00+01:00,89.13,42.9
2025-01-03 01:00:00+01:00,68.97,39.9
2025-01-03 02:00:00+01:00,73.07,4.3
2025-01-03 03:00:00+01:00,74.27,1.5
2025-01-03 04:00:00+01:00,53.28,1.1
2025-01-03 05:00:00+01:00,68.0,73.7
2025-01-03 06:00:00+01:00,97.53,130.8
2025-01-03 07:00:00+01:00,90.8,153.9
2025-01-03 08:00:00+01:00,99.9,226.9
2025-01-03 09:00:00+01:00,100.75,-339.1
2025-01-03 10:00:00+01:00,82.92,182.9
2025-01-03 11:00:00+01:00,73.93,285.1
2025-01-03 12:00:00+01:00,89.18,115.7
2025-01-03 13:00:00+01:00,92.99,209.0
2025-01-03 14:00:00+01:00,94.02,210.9
2025-01-03 15:00:00+01:00,89.08,305.3
2025-01-03 16:00:00+01:00,100.59,22.7
2025-01-03 17:00:00+01:00,105.93,204.3
2025-01-03 18:00:00+01:00,108.99,338.1
2025-01-03 19:00:00+01:00,108.44,495.6
2025-01-03 20:00:00+01:00,88.19,662.5
2025-01-03 21:00:00+01:00,88.5,568.4
2025-01-03 22:00:00+01:00,89.08,121.9
2025-01-03 23:00:00+01:00,68.95,347.6
2025-01-04 00:00:00+01:00,57.35,101.7
2025-01-04 01:00:00+01:00,63.46,188.2
2025-01-04 02:00:00+01:00,58.84,148.0
2025-01-04 03:00:00+01:00,69.22,80.5
2025-01-04 04:00:00+01:00,82.64,84.1
2025-01-04 05:00:00+01:00,91.93,1.8
2025-01-04 06:00:00+01:00,105.96,26.8
2025-01-04 07:00:00+01:00,119.45,1.3
2025-01-04 08:00:00+01:00,128.39,-104.0
2025-01-04 09:00:00+01:00,130.75,-141.5
